"2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-14","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-14","2015-12-13","2015-12-14","2015-12-13","2015-12-14","2015-12-13","2015-12-14"
"証券コード","会社名","市場","業種","PER","東証1部平均
PER","PBR","東証1部平均
PBR","昨季
営業利益増加率(%)","今期予想
営業利益増加率(%)","四半期の見通し
悪1 - 5良","四半期の見通し
悪1 - 5良","自己資本比率(%)","IR活動の数
(分割,分売,優待新設,優待拡充,優待変更,自己株式取得)","上場日","株主優待","配当月","サイクロ","一か月の
25日移動曲線の
値動き","25日
移動平均曲線の
値動き
乖離率","一か月の
25日移動曲線の
出来高","25日
移動平均曲線
出来高
"1407-T","ウエストホールディングス","JQスタンダード","建設業","6.52889076339097407","15.8257337701220262","1.63098449089683073","1.21499040903193167","-35.082%","","3","2","36.300%","2","2006-03-01","なし","8月末日","0.75","→→↑↑","4.679%","↑↓↑↓","-55.641%","83.448%","2831.600%","1267.900%","419.591%","493.955%","773.250%","763.250%","162.239%","160.141%","592.309%","584.649%"
"1408-T","サムシングホールディングス","JQグロース","建設業","","15.8257337701220262","1.78216572564110676","1.21499040903193167","-48.750%","-148.780%","3","3","42.900%","0","2006-06-29","あり","12月末日","0.75","→↓↓→","4.987%","↑↓↓↓","-58.714%","7.296%","96.400%","129.100%","150.500%","150.500%","102.450%","102.450%","180.744%","180.744%","57.693%","57.693%"
"1414-T","ショーボンドホールディングス","東証1部","建設業","20.6053653370984833","15.8257337701220262","2.07279183311140702","1.21499040903193167","21.354%","-25.984%","5","5","99.900%","1","2008-01-04","なし","6月末日","0.3333333333333333","→→→→","-3.480%","↑↓↑↓","47.560%","3430.475%","3482.400%","6147.000%","337.500%","337.500%","1346.100%","1346.100%","264.312%","264.312%","6347.004%","6347.004%"
"1417-T","ミライト・ホールディングス","東証1部","建設業","13.47431205096923","15.8257337701220262","0.671957600421832502","1.21499040903193167","23.442%","-116.225%","1","1","63.800%","1","2010-10-01","あり","3月末日","0.3333333333333333","↓↓↓↓","-1.236%","↑↑↓→","-16.968%","2108.925%","5420.200%","12286.000%","813.045%","649.045%","3255.550%","3255.550%","217.884%","217.884%","3216.505%","3216.505%"
"1418-T","インターライフホールディングス","JQスタンダード","建設業","15.7407407407407423","15.8257337701220262","1.04975299929428378","1.21499040903193167","29.882%","-12.073%","4","5","55.300%","0","2010-10-05","なし","2月末日","0.5","→↑→→","0.101%","↑↑↓↑","-28.831%","18.728%","143.000%","440.000%","169.455%","153.136%","477.500%","456.500%","136.360%","130.363%","111.727%","106.813%"
"1419-F","タマホーム","福証","建設業","","15.8257337701220262","","1.21499040903193167","-40.252%","-491.443%","4","4","17.400%","0","2013-03-27","あり","5月末日・11月末日","","→→→→","","→→→→","","53.860%","1673.200%","1405.900%","829.591%","829.591%","760.750%","760.750%","144.640%","144.640%","340.825%","340.825%"
"1419-T","タマホーム","東証1部","建設業","13.6459272617974143","15.8257337701220262","1.16377432006357173","1.21499040903193167","-40.252%","-491.443%","4","4","17.400%","1","2013-03-27","あり","5月末日・11月末日","0.25","→↑→→","-1.885%","↑↑↓→","9.124%","336.625%","1673.200%","1405.900%","829.591%","829.591%","760.750%","760.750%","144.640%","144.640%","340.825%","340.825%"
"1420-T","サンヨーホームズ","東証1部","建設業","32.0504731861198735","15.8257337701220262","0.430990599653850059","1.21499040903193167","-44.177%","-205.960%","4","1","37.500%","0","2013-04-09","あり","3月末日","0.5","↓↓↓↓","-1.336%","↑↑↑↑","6.083%","159.650%","778.800%","1563.000%","117.409%","112.000%","299.500%","294.500%","135.612%","133.348%","151.554%","149.024%"
"1427-T","HABITA CRAFT","東証TPM","建設業","","15.8257337701220262","","1.21499040903193167","","","","","","0","","なし","","","→→→→","","→→→→","","","","","","","","","","","",""
"1429-T","日本アクア","東証マザーズ","建設業","316.176470588235247","15.8257337701220262","2.84523258122146494","1.21499040903193167","-1.255%","-23.305%","4","5","60.500%","1","2013-12-13","なし","12月末日","0.5833333333333334","↑↑↑↑","1.597%","↑↑↑↑","-62.982%","371.175%","372.400%","552.900%","106.636%","106.636%","479.350%","480.450%","79.196%","79.327%","205.768%","206.109%"
"1430-T","ファーストコーポレーション","東証マザーズ","建設業","11.8029627845357101","15.8257337701220262","8.15579227696404807","1.21499040903193167","197.378%","71.788%","5","5","20.700%","1","2015-03-24","なし","5月末日","0.25","↑↓↓↓","-66.512%","↑↓↑↑","58.434%","280.775%","200.200%","123.300%","27.818%","27.818%","70.350%","70.350%","142.200%","142.200%","279.484%","279.484%"
"1431-F","エスケーホーム","福証Q-Board","建設業","5.91764609188789326","15.8257337701220262","0.88859269132511387","1.21499040903193167","21.552%","-352.482%","4","3","51.400%","1","2015-08-05","あり","6月末日","0.7","↓↓↓→","-0.888%","↑→→↓","-16.418%","3.268%","67.000%","83.500%","0.273%","0.273%","2.050%","9.550%","12.449%","50.020%","1.780%","7.152%"
"1432-T","スズキ太陽技術","東証TPM","建設業","","15.8257337701220262","","1.21499040903193167","","","","","","0","","なし","","","→→→→","","→→→→","","","","","","","","","","","",""
"1433-T","ベステラ","東証マザーズ","建設業","30.1630653064503171","15.8257337701220262","5.87246354146303329","1.21499040903193167","118.182%","48.438%","4","4","45.300%","0","2015-09-02","なし","1月末日","0.5","↓↓↓→","-2.675%","↑↓↓→","7.711%","275.175%","113.200%","112.200%","2.864%","2.864%","20.800%","33.850%","115.845%","150.294%","223.144%","289.500%"
"1434-T","JESCOホールディングス","東証2部","建設業","6.33501748931208741","15.8257337701220262","2.06677937447168203","1.21499040903193167","26.855%","","4","5","26.000%","0","2015-09-08","なし","8月末日","0.4166666666666667","↑→→→","-5.026%","↑↓↓↓","-23.783%","77.100%","130.000%","103.300%","3.273%","3.273%","211.800%","245.400%","277.207%","225.520%","149.609%","121.713%"
"1435-T","インベスターズクラウド","東証マザーズ","建設業","27.1720613287904591","15.8257337701220262","9.32394119194458249","1.21499040903193167","-2.220%","","","5","35.900%","0","2015-12-03","なし","12月末日","0.5","→→→→","2.162%","→→→→","2.710%","600.400%","367.800%","179.900%","","0.409%","","352.625%","","285.371%","","1199.356%"
"1491-T","中外鉱業","東証2部","非鉄金属","45.4545454545454533","28.8262025563894362","1.05396290050590213","1.0555040162706375","-152.137%","44.262%","2","3","89.600%","0","1949-05-01","なし","3月末日","1.0","↓→→→","1.133%","↑↑↑↓","-31.535%","181.100%","13.000%","714.400%","894.000%","864.682%","14487.350%","14487.350%","285.714%","285.714%","362.200%","362.200%"
"1514-T","住石ホールディングス","東証1部","鉱業","7.44818652849740914","16.602955501136293","0.648545003383713126","0.598885724267571362","-46.154%","259.184%","2","3","56.100%","3","2008-10-01","なし","3月末日","0.6666666666666666","→→→→","-4.231%","↑↓↑↓","-23.615%","172.250%","229.400%","984.200%","785.636%","777.136%","2944.600%","2894.600%","285.714%","280.863%","344.500%","338.650%"
"1515-T","日鉄鉱業","東証1部","鉱業","10.3588605253422124","16.602955501136293","0.520030458926880046","0.598885724267571362","7.513%","7.349%","2","4","56.100%","0","1954-03-01","あり","3月末日","0.5","↑↑↑↑","-2.276%","↑↑↑↑","21.133%","1167.225%","3714.000%","8922.000%","195.136%","163.136%","355.765%","355.765%","243.399%","243.399%","1988.711%","1988.711%"
"1518-F","三井松島産業","福証","鉱業","","16.602955501136293","","0.598885724267571362","-114.331%","-660.886%","3","5","62.600%","0","1961-10-01","なし","3月末日","","→→→→","","→→→→","","74.884%","717.400%","3442.700%","540.773%","503.500%","693.385%","693.385%","285.714%","285.714%","936.050%","936.050%"
