"2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-14","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-14","2015-12-13","2015-12-14","2015-12-13","2015-12-14","2015-12-13","2015-12-14"
"証券コード","会社名","市場","業種","PER","東証1部平均
PER","PBR","東証1部平均
PBR","昨季
営業利益増加率(%)","今期予想
営業利益増加率(%)","四半期の見通し
悪1 - 5良","四半期の見通し
悪1 - 5良","自己資本比率(%)","IR活動の数
(分割,分売,優待新設,優待拡充,優待変更,自己株式取得)","上場日","株主優待","配当月","サイクロ","一か月の
25日移動曲線の
値動き","25日
移動平均曲線の
値動き
乖離率","一か月の
25日移動曲線の
出来高","25日
移動平均曲線
出来高
"3607-T","クラウディア","東証1部","繊維製品","23.6133768352365436","45.5458689480669108","0.695253305154961088","0.991025943260702369","-96.198%","","3","3","48.000%","2","2004-05-28","あり","8月末日","0.5","→→→→","-0.048%","↑→↑↑","264.878%","137.575%","144.200%","721.700%","134.136%","161.773%","375.950%","254.450%","221.724%","150.067%","213.526%","144.518%"
"3608-T","TSIホールディングス","東証1部","繊維製品","65.1869158878504749","45.5458689480669108","0.773481684101578471","0.991025943260702369","-181.915%","32.684%","4","3","64.300%","0","2011-06-01","あり","2月末日・8月末日","0.5","→↑→→","-5.803%","↑↓↓↑","63.088%","2596.450%","794.200%","12070.600%","257.864%","236.636%","5220.650%","5620.650%","257.657%","277.398%","4682.952%","5041.755%"
"3610-T","はかた匠工芸","東証TPM","繊維製品","","45.5458689480669108","","0.991025943260702369","","","","","","0","","なし","","","→→→→","","→→→→","","","","","","","","","","","",""
"3622-T","ネットイヤーグループ","東証マザーズ","情報・通信業","39.2595978062157229","38.4071580354396644","2.84455924233392921","2.51743426080294563","140.426%","-5.310%","2","2","61.700%","0","2008-03-06","なし","3月末日","0.25","↑↑↑↓","-6.337%","↑↑↓↓","36.276%","152.025%","136.000%","195.900%","303.864%","280.091%","205.700%","205.750%","171.495%","171.512%","182.501%","182.519%"
"3623-T","ビリングシステム","東証マザーズ","情報・通信業","43.7865406145042897","38.4071580354396644","3.22737399946821668","2.51743426080294563","-0.917%","38.272%","5","5","58.000%","0","2008-03-19","なし","12月末日","0.4166666666666667","→↑↓↓","-3.217%","↑↑↓↓","-53.935%","143.975%","43.400%","163.000%","85.318%","85.318%","75.450%","75.450%","264.667%","264.667%","266.738%","266.738%"
"3624-T","アクセルマーク","東証マザーズ","情報・通信業","","38.4071580354396644","3.99603401135714931","2.51743426080294563","-92.727%","","3","1","76.800%","0","2008-03-18","なし","9月末日","0.5833333333333334","↑↑↓↓","-0.915%","↑↑↓↓","-75.927%","147.525%","10.400%","145.500%","123.182%","113.636%","90.500%","90.500%","118.339%","118.339%","122.206%","122.206%"
"3625-T","テックファームホールディングス","JQグロース","情報・通信業","2917.02127659574489","38.4071580354396644","4.14876233129576999","2.51743426080294563","-37.324%","-356.180%","3","3","65.800%","0","2008-03-27","なし","6月末日","0.5833333333333334","↓↑↑↑","4.088%","↑↑↑↓","-54.521%","35.736%","43.000%","230.400%","211.818%","211.818%","297.100%","319.600%","253.315%","272.499%","396.045%","426.038%"
"3626-T","ITホールディングス","東証1部","情報・通信業","19.1745250785841179","38.4071580354396644","1.41129133660253991","2.51743426080294563","8.257%","-6.254%","5","5","86.100%","0","2008-04-01","なし","3月末日","0.5833333333333334","↑↑→→","-5.638%","↑↓↑↓","3.009%","6090.375%","8044.400%","18440.100%","488.682%","508.909%","4389.450%","4389.450%","285.714%","285.714%","12180.750%","12180.750%"
"3627-T","ネオス","東証1部","情報・通信業","46.4560204953031572","38.4071580354396644","1.73099564069112555","2.51743426080294563","-358.125%","-115.981%","3","4","65.300%","0","2008-05-23","なし","2月末日","0.5833333333333334","→→→→","-1.876%","↑↓↓↓","58.889%","117.525%","-39.600%","267.200%","289.864%","269.273%","279.550%","279.800%","187.031%","187.088%","153.865%","153.913%"
"3628-T","データホライゾン","東証マザーズ","情報・通信業","","38.4071580354396644","4.95376155961009701","2.51743426080294563","925.000%","280.488%","3","4","72.600%","0","2008-09-19","なし","3月末日","0.5","→↑↑↑","12.639%","↑↓↑↓","-88.530%","88.450%","-13.400%","85.200%","54.545%","56.091%","126.350%","126.450%","202.980%","203.027%","125.675%","125.704%"
"3630-T","電算システム","東証1部","情報・通信業","26.5295427747936614","38.4071580354396644","2.58686765457332646","2.51743426080294563","13.583%","-21.202%","2","3","27.900%","0","2008-10-30","あり","12月末日","0.4166666666666667","→→→→","2.790%","↑↓↓↓","88.986%","503.875%","436.800%","757.600%","546.091%","546.091%","467.850%","467.850%","266.623%","266.623%","940.413%","940.413%"
"3632-T","グリー","東証1部","情報・通信業","","38.4071580354396644","1.49239004415501131","2.51743426080294563","-33.558%","-37.199%","3","1","83.300%","3","2008-12-17","なし","6月末日","0.5833333333333334","→→→→","2.307%","↑↓↓↓","-8.491%","3687.300%","14271.600%","9584.500%","2025.318%","2025.318%","5554.000%","5567.000%","131.832%","131.998%","3402.719%","3407.004%"
"3633-T","GMOペパボ","JQスタンダード","情報・通信業","","38.4071580354396644","8.86836189940994579","2.51743426080294563","-1.093%","-151.013%","1","2","47.800%","0","2008-12-19","あり","12月末日・6月末日","0.6666666666666666","↓→↑↑","16.478%","↑↑↑↑","24.485%","53.584%","298.400%","210.800%","67.091%","67.091%","50.850%","50.850%","106.946%","106.946%","250.713%","250.713%"
"3634-T","ソケッツ","東証マザーズ","情報・通信業","","38.4071580354396644","1.8466529415434525","2.51743426080294563","245.082%","-51.069%","1","2","50.600%","0","2009-04-02","なし","3月末日","0.5454545454545454","→→→→","-3.116%","↑↓↓↑","-92.764%","37.125%","-110.400%","88.700%","33.682%","33.500%","84.900%","84.900%","197.373%","197.373%","51.292%","51.292%"
"3635-T","コーエーテクモホールディングス","東証1部","情報・通信業","20.4733989602920055","38.4071580354396644","2.06464997992236654","2.51743426080294563","35.182%","17.136%","5","5","99.200%","1","2009-04-01","あり","3月末日","0.5833333333333334","↑↑↑→","-1.177%","↑→↓↓","58.892%","4949.900%","4859.200%","10059.200%","579.091%","527.955%","2765.950%","3702.650%","176.068%","196.411%","6100.625%","6805.509%"
"3636-T","三菱総合研究所","東証1部","情報・通信業","14.325471052511519","38.4071580354396644","1.34182299901713598","2.51743426080294563","-8.669%","","4","4","78.000%","0","2009-09-14","なし","9月末日","0.4166666666666667","→↑↑→","-0.036%","↑↑↓↓","28.897%","1281.075%","2451.000%","3843.400%","168.591%","150.455%","821.200%","821.200%","285.714%","285.714%","2562.150%","2562.150%"
"3639-T","ボルテージ","東証1部","情報・通信業","16.7655403662625737","38.4071580354396644","1.85663891229523403","2.51743426080294563","-23.942%","-148.609%","4","2","76.000%","0","2010-06-11","あり","12月末日","0.3333333333333333","↓↓↓↓","-7.031%","↑↓↑↓","-51.337%","169.775%","325.200%","378.900%","160.818%","160.818%","191.750%","192.000%","212.554%","212.625%","252.604%","252.688%"
"3640-T","電算","東証1部","情報・通信業","17.8720181749337357","38.4071580354396644","1.74790214710522207","2.51743426080294563","-318.056%","-200.637%","3","2","44.200%","0","2010-06-24","あり","3月末日","0.5","↑↑↑→","1.119%","↓↑↑↑","113.980%","344.675%","59.800%","762.500%","262.773%","244.000%","129.850%","129.850%","127.120%","127.120%","306.706%","306.706%"
"3641-T","パピレス","JQスタンダード","情報・通信業","14.2619240787394848","38.4071580354396644","2.61456327399683719","2.51743426080294563","-20.152%","96.964%","5","5","60.100%","11","2010-06-23","あり","3月末日","0.16666666666666666","→→→↓","-4.282%","↑↑↓↓","-76.766%","33.872%","252.000%","289.000%","89.000%","0.000%","78.550%","61.050%","173.908%","135.164%","257.715%","200.299%"
"3645-T","日本メディカルネットコミュニケーションズ","東証マザーズ","情報・通信業","183.402489626556019","38.4071580354396644","1.91998609964814726","2.51743426080294563","-25.641%","-13.793%","1","4","87.500%","0","2010-12-21","あり","5月末日","0.5833333333333334","→→→→","1.246%","↑↓↓↓","-37.478%","60.050%","63.200%","134.300%","124.182%","124.182%","144.800%","144.800%","153.626%","153.626%","64.577%","64.577%"
"3646-T","駅探","東証マザーズ","情報・通信業","17.0570457121269357","38.4071580354396644","2.45908335829634295","2.51743426080294563","-7.113%","23.874%","1","4","69.700%","0","2011-03-03","なし","3月末日","0.4166666666666667","↑↑↑↓","-5.918%","↑↑↓↓","-81.437%","157.075%","184.000%","175.900%","185.273%","210.364%","174.400%","178.900%","144.682%","148.415%","159.082%","163.187%"
"3647-T","コネクトホールディングス","東証2部","情報・通信業","","38.4071580354396644","2.88557213930348233","2.51743426080294563","-51.429%","","3","3","95.600%","4","2011-03-01","あり","8月末日","0.9166666666666666","↓↓↓↓","-3.974%","↑→→↑","-6.653%","55.125%","9.400%","75.800%","283.091%","272.773%","2261.900%","1327.900%","175.833%","103.227%","67.850%","39.833%"
"3648-T","AGS","東証1部","情報・通信業","19.9676963456491023","38.4071580354396644","0.947608462363942916","2.51743426080294563","-8.681%","9.506%","3","4","62.800%","0","2011-03-11","あり","3月末日・9月末日","0.4166666666666667","→↑→→","-0.759%","↑↑↓↓","5.850%","220.550%","245.800%","927.600%","360.818%","371.364%","397.650%","444.150%","255.802%","285.714%","394.919%","441.100%"
"3649-T","ファインデックス","東証1部","情報・通信業","67.9259830377794884","38.4071580354396644","10.0974212034383957","2.51743426080294563","21.867%","-87.500%","2","3","82.700%","1","2011-03-23","なし","12月末日","0.4166666666666667","↓↓→↑","6.793%","↑↑↑↑","-6.072%","599.000%","369.200%","234.300%","157.909%","157.909%","782.350%","782.350%","172.031%","172.031%","721.326%","721.326%"
"3651-T","トライアンフコーポレーション","東証TPM","情報・通信業","","38.4071580354396644","","2.51743426080294563","","","","","","0","","なし","","","→→→→","","→→→↓","-100.000%","","","","","","","","","","",""
"3652-T","ディジタルメディアプロフェッショナル","東証マザーズ","情報・通信業","","38.4071580354396644","2.63525305410122179","2.51743426080294563","-18.805%","-23.810%","2","1","96.600%","0","2011-06-23","なし","3月末日","0.4166666666666667","→↓↓→","-2.412%","↑↓↓↓","-29.905%","132.075%","-126.000%","205.400%","200.636%","189.455%","113.150%","113.000%","240.093%","239.153%","221.972%","221.103%"
"3653-T","モルフォ","東証マザーズ","情報・通信業","43.1025453021891707","38.4071580354396644","9.50192809476528133","2.51743426080294563","436.364%","197.401%","5","5","80.300%","1","2011-07-21","なし","10月末日","0.5","↑↓→→","-6.166%","↑↓↓→","-11.357%","528.050%","81.200%","166.200%","127.136%","127.136%","240.450%","240.750%","276.514%","276.525%","1022.094%","1022.135%"
"3654-T","ヒト・コミュニケーションズ","東証1部","情報・通信業","14.4796938649549425","38.4071580354396644","3.12937692584737315","2.51743426080294563","23.610%","","5","5","64.700%","0","2011-08-12","あり","8月末日","0.4166666666666667","↑→→↓","-3.846%","↑↓↓↑","6.383%","541.700%","855.400%","670.900%","110.909%","150.909%","198.000%","198.000%","126.417%","126.417%","479.359%","479.359%"
"3655-T","ブレインパッド","東証1部","情報・通信業","681.081081081081038","38.4071580354396644","3.07129798903107876","2.51743426080294563","-12.658%","-171.498%","1","3","60.000%","3","2011-09-22","なし","6月末日","0.5","↓→→→","0.897%","↑↑↑↓","-47.264%","85.175%","88.800%","120.500%","88.636%","88.636%","197.650%","197.650%","167.745%","167.745%","100.014%","100.014%"
"3656-T","KLab","東証1部","情報・通信業","45.3544061302682024","38.4071580354396644","3.44363636363636383","2.51743426080294563","-436.000%","9.114%","5","4","71.000%","0","2011-09-27","なし","12月末日","0.4166666666666667","↓↓↓↓","-9.145%","↑↑↑↑","14.515%","950.075%","425.600%","901.900%","912.136%","912.136%","1637.350%","1638.300%","247.803%","247.822%","1648.018%","1648.145%"
"3657-T","ポールトゥウィン・ピットクルーホールディングス","東証1部","情報・通信業","15.197693574958814","38.4071580354396644","2.33037913394943486","2.51743426080294563","-13.200%","33.907%","5","5","99.200%","0","2011-10-26","なし","1月末日","0.4166666666666667","↓→↑↑","1.515%","↑↓↑↑","-31.261%","527.500%","833.800%","842.100%","283.636%","209.727%","650.650%","650.650%","195.242%","195.242%","720.932%","720.932%"
"3658-T","イーブックイニシアティブジャパン","東証1部","情報・通信業","","38.4071580354396644","1.52367557430848555","2.51743426080294563","-20.222%","-142.340%","1","3","63.700%","0","2011-10-28","あり","1月末日","0.3333333333333333","→↑↑→","-3.441%","↑↑↓↑","73.821%","105.550%","158.000%","216.700%","269.227%","250.318%","245.200%","249.200%","262.190%","266.467%","193.719%","196.879%"
"3659-T","ネクソン","東証1部","情報・通信業","14.5609648477717322","38.4071580354396644","2.34156033065670099","2.51743426080294563","-10.248%","77.949%","5","4","77.900%","6","2011-12-14","なし","12月末日","0.75","↑↑↑↑","5.864%","↑↑↓→","-26.298%","21533.075%","20263.800%","34038.000%","189.500%","189.500%","8439.150%","8602.050%","112.147%","113.453%","16904.147%","17100.878%"
"3660-T","アイスタイル","東証1部","情報・通信業","65.1545698924731198","38.4071580354396644","11.5609348914858092","2.51743426080294563","34.672%","207.692%","5","5","71.400%","3","2012-03-08","あり","6月末日","0.5","↑↑↑↑","23.695%","↑↑↑↑","21.632%","1404.725%","221.400%","444.600%","98.227%","98.227%","541.750%","1294.500%","206.038%","245.916%","2025.983%","2418.107%"
"3661-T","エムアップ","東証1部","情報・通信業","11.7292098811993206","38.4071580354396644","2.34805587013967543","2.51743426080294563","22.912%","-11.150%","4","4","68.000%","1","2012-03-14","なし","3月末日","0.5","→→→→","-1.825%","↑↑↑↑","18.731%","115.850%","210.200%","186.600%","208.409%","210.955%","265.000%","265.000%","203.260%","203.260%","164.834%","164.834%"
"3662-T","エイチーム","東証1部","情報・通信業","27.9862068965517246","38.4071580354396644","9.79294367488778406","2.51743426080294563","43.733%","","5","5","54.800%","5","2012-04-04","あり","7月末日・1月末日","0.5","→↑↑↑","3.874%","↑↑↑→","38.122%","992.600%","726.800%","390.000%","538.227%","538.227%","568.750%","569.250%","167.483%","167.544%","1163.703%","1164.126%"
"3663-T","アートスパークホールディングス","東証2部","情報・通信業","81.7261587639850831","38.4071580354396644","4.45813595280304575","2.51743426080294563","-243.478%","-130.976%","3","3","58.400%","0","2012-04-02","なし","12月末日","0.5","↑↑↑↑","15.058%","↑↑↑↑","-51.699%","258.575%","5.000%","231.800%","256.273%","256.273%","321.750%","322.250%","275.441%","275.457%","498.556%","498.584%"
"3664-T","モブキャスト","東証マザーズ","情報・通信業","","38.4071580354396644","4.38006421036538818","2.51743426080294563","-210.864%","-87.940%","1","2","55.800%","0","2012-06-26","なし","12月末日","0.4166666666666667","→→↑↑","1.697%","↑↓↓↑","36.520%","222.225%","8.000%","247.900%","273.500%","273.500%","440.050%","441.800%","172.692%","172.963%","268.636%","269.057%"
"3665-T","エニグモ","東証マザーズ","情報・通信業","","38.4071580354396644","8.09983896940418724","2.51743426080294563","40.376%","-107.525%","5","4","64.000%","1","2012-07-24","なし","1月末日","0.3333333333333333","→↑↑→","-0.679%","↑↑↑↑","-39.113%","549.550%","411.000%","264.900%","214.955%","213.682%","605.050%","605.050%","162.161%","162.161%","623.808%","623.808%"
"3666-T","テクノスジャパン","東証1部","情報・通信業","42.2033898305084705","38.4071580354396644","4.17085427135678355","2.51743426080294563","13.590%","8.352%","4","4","87.200%","2","2012-12-07","なし","3月末日","0.4166666666666667","→↑↑↑","-0.555%","↑↑↑↑","-46.721%","367.325%","173.600%","342.100%","84.364%","244.500%","168.000%","216.000%","188.235%","242.017%","484.005%","622.292%"
"3667-T","enish","東証1部","情報・通信業","","38.4071580354396644","2.95564466123765035","2.51743426080294563","-86.564%","-817.673%","1","1","83.000%","0","2012-12-11","なし","12月末日","0.5833333333333334","↓↓↓→","-6.183%","↑↓↓↓","-21.555%","132.200%","245.800%","286.600%","260.227%","260.227%","265.100%","272.350%","218.216%","219.597%","201.937%","203.215%"
"3668-T","コロプラ","東証1部","情報・通信業","14.9958915365653258","38.4071580354396644","7.2073342736248236","2.51743426080294563","36.919%","","4","5","73.600%","3","2012-12-13","なし","9月末日","0.5","↑↑↑↑","2.915%","↑↑↑↑","-80.147%","8083.250%","11183.800%","4359.400%","2023.818%","1928.727%","2558.750%","2563.800%","117.117%","117.309%","6626.782%","6637.681%"
"3669-F","モバイルクリエイト","福証","情報・通信業","","38.4071580354396644","","2.51743426080294563","-28.856%","-195.804%","4","1","62.000%","0","2012-12-19","あり","5月末日","","→→→→","","→→→→","","41.220%","422.600%","439.300%","816.864%","816.864%","619.850%","619.850%","152.956%","152.956%","275.837%","275.837%"
"3669-T","モバイルクリエイト","東証1部","情報・通信業","20.8962264150943398","38.4071580354396644","2.46193175502945438","2.51743426080294563","-28.856%","-195.804%","4","1","62.000%","0","2012-12-19","あり","5月末日","0.4166666666666667","↓↓→→","-1.878%","↑↓↑↑","-29.941%","257.625%","422.600%","439.300%","816.864%","816.864%","619.850%","619.850%","152.956%","152.956%","275.837%","275.837%"
"3670-T","協立情報通信","JQスタンダード","情報・通信業","11.8816458622283871","38.4071580354396644","1.91840129670704651","2.51743426080294563","25.701%","52.416%","5","5","42.200%","0","2013-02-20","あり","2月末日","0.5833333333333334","↓→→→","-0.518%","↓↑↓→","-20.379%","8.672%","97.200%","105.900%","37.364%","36.227%","20.750%","21.500%","98.645%","102.126%","37.426%","38.746%"
"3671-T","ソフトマックス","東証マザーズ","情報・通信業","18.9486552567237183","38.4071580354396644","2.30637601368945733","2.51743426080294563","-60.208%","-35.072%","2","1","36.600%","0","2013-03-12","なし","12月末日","0.6666666666666666","→→→→","2.196%","↓↑↑↓","-62.406%","93.375%","84.200%","166.500%","61.545%","61.545%","52.800%","52.800%","151.921%","151.921%","99.299%","99.299%"
"3672-T","オルトプラス","東証1部","情報・通信業","","38.4071580354396644","2.18001497005988032","2.51743426080294563","-2165.714%","","1","1","80.100%","0","2013-03-14","なし","9月末日","0.3333333333333333","→→→→","-5.615%","↑↓↓↓","120.695%","110.350%","-144.600%","221.000%","343.955%","312.091%","349.450%","349.450%","222.145%","222.145%","171.596%","171.596%"
"3673-T","ブロードリーフ","東証1部","情報・通信業","24.578212872318268","38.4071580354396644","1.51954156203721591","2.51743426080294563","11.364%","-60.016%","1","4","75.000%","6","2013-03-22","なし","12月末日","0.5","↓↓↓↓","-1.941%","↑↓↑↓","-7.359%","766.500%","1550.200%","2126.500%","125.545%","125.545%","1261.700%","1261.700%","285.714%","285.714%","1533.000%","1533.000%"
"3674-T","オークファン","東証マザーズ","情報・通信業","32.7550598926063614","38.4071580354396644","3.6793021853106298","2.51743426080294563","-57.882%","","3","4","49.300%","3","2013-04-25","なし","9月末日","0.5","→↑↑↑","13.963%","↑↑↑↑","-13.850%","199.900%","116.800%","211.400%","267.318%","247.636%","266.600%","266.500%","155.262%","154.448%","217.258%","216.119%"
"3675-T","クロス・マーケティンググループ","東証マザーズ","情報・通信業","15.3030303030303045","38.4071580354396644","2.3325635103926099","2.51743426080294563","-26.069%","51.990%","5","5","40.300%","0","2013-06-03","なし","12月末日","0.8333333333333334","→→→↓","-7.084%","↑↑↑↑","-16.814%","193.800%","254.200%","271.500%","85.409%","85.409%","327.550%","327.550%","103.805%","103.805%","140.822%","140.822%"
"3676-T","ハーツユナイテッドグループ","東証1部","情報・通信業","21.2885679452311756","38.4071580354396644","7.79506198276158191","2.51743426080294563","-14.775%","5.339%","4","5","49.500%","6","2013-10-01","あり","3月末日","0.6666666666666666","↑↑↑↑","10.846%","↑↑↑↑","196.241%","672.825%","662.600%","409.300%","357.273%","263.364%","337.250%","311.750%","161.335%","149.136%","759.850%","702.397%"
"3677-T","システム情報","JQスタンダード","情報・通信業","15.52856858451125","38.4071580354396644","3.08117716768714178","2.51743426080294563","21.680%","","5","4","63.300%","2","2013-10-22","なし","9月末日","0.5","→↓↓↓","-4.547%","↑↓↓↓","63.380%","18.228%","161.000%","148.600%","80.227%","98.045%","217.300%","154.200%","212.041%","150.263%","169.098%","119.831%"
"3678-T","メディアドゥ","東証マザーズ","情報・通信業","38.3673469387755119","38.4071580354396644","6.77689128136114594","2.51743426080294563","63.889%","33.172%","5","4","45.000%","0","2013-11-20","なし","2月末日","0.5","→→→↓","-2.409%","↑↓↓↓","-48.375%","351.825%","128.200%","185.200%","177.636%","203.682%","296.400%","296.400%","171.986%","171.986%","423.562%","423.562%"
"3679-T","じげん","東証マザーズ","情報・通信業","47.1629042098840756","38.4071580354396644","12.7937768950678574","2.51743426080294563","30.919%","18.084%","5","5","32.700%","0","2013-11-22","なし","3月末日","0.6666666666666666","↑↑↑↑","5.463%","↑↑↑↑","-30.384%","1007.975%","428.400%","274.400%","579.318%","572.227%","740.050%","740.050%","81.810%","81.810%","577.239%","577.239%"
"3680-T","ホットリンク","東証マザーズ","情報・通信業","","38.4071580354396644","4.5328324077098987","2.51743426080294563","-7.595%","-249.772%","1","3","41.600%","0","2013-12-09","なし","12月末日","0.16666666666666666","↓↓↓↓","-5.509%","↑↑↑→","-59.052%","139.000%","61.800%","135.000%","286.409%","286.409%","364.550%","364.550%","211.680%","211.680%","205.965%","205.965%"
"3681-T","ブイキューブ","東証1部","情報・通信業","1302.87769784172679","38.4071580354396644","4.04937056995282063","2.51743426080294563","46.014%","-98.346%","5","4","75.100%","2","2013-12-10","なし","12月末日","0.5","↓↓↓↓","-5.659%","↑↑↓↓","-75.865%","433.575%","171.400%","409.800%","199.409%","199.409%","350.300%","350.500%","212.812%","212.843%","645.891%","645.985%"
"3682-T","エンカレッジ・テクノロジ","東証マザーズ","情報・通信業","22.355038271993287","38.4071580354396644","3.10787172011661816","2.51743426080294563","10.194%","21.586%","4","4","82.300%","0","2013-12-11","なし","3月末日","0.75","→→↓↓","-5.890%","↑→↓↑","-29.017%","186.100%","171.400%","224.300%","93.545%","80.318%","115.600%","115.100%","190.806%","189.981%","248.563%","247.488%"
"3683-T","サイバーリンクス","東証1部","情報・通信業","17.5358767938396944","38.4071580354396644","2.34375","2.51743426080294563","78.171%","45.033%","5","3","51.300%","3","2014-03-06","なし","12月末日","0.5","↓↓→↓","-3.577%","↑↑↑→","-70.655%","185.125%","186.800%","269.200%","89.409%","89.409%","161.100%","163.600%","192.106%","193.073%","248.945%","250.198%"
"3685-T","みんなのウェディング","東証マザーズ","情報・通信業","","38.4071580354396644","3.17772437064549784","2.51743426080294563","-48.318%","","3","4","91.700%","0","2014-03-25","なし","9月末日","0.4166666666666667","↓↓↓↓","-2.162%","↑↓↑↑","23.391%","247.675%","92.800%","307.400%","96.636%","65.636%","169.300%","217.300%","126.859%","162.826%","219.939%","282.296%"
"3686-T","ディー・エル・イー","東証マザーズ","情報・通信業","78.2973621103117523","38.4071580354396644","6.57206119162640867","2.51743426080294563","6.774%","-72.205%","3","4","54.000%","0","2014-03-26","なし","6月末日","0.5","↓→↑↑","2.057%","↑↓↑↑","-55.357%","283.800%","124.200%","163.700%","236.682%","236.682%","501.750%","513.900%","173.503%","175.129%","344.682%","347.912%"
"3687-T","フィックスターズ","東証マザーズ","情報・通信業","35.9455104731214306","38.4071580354396644","8.82352941176470651","2.51743426080294563","35.841%","","4","4","72.500%","4","2014-04-23","なし","9月末日","0.5","→→→↓","-3.615%","↑↑↑↓","-51.012%","409.700%","212.400%","184.200%","141.318%","143.000%","217.900%","258.700%","188.145%","223.171%","539.581%","640.033%"
"3688-T","VOYAGE GROUP","東証1部","情報・通信業","14.7619494788243042","38.4071580354396644","3.08937976574168705","2.51743426080294563","19.043%","","5","4","47.800%","0","2014-07-02","あり","9月末日・3月末日","0.5833333333333334","↓↓↓→","-0.707%","↑↑↓↓","-39.073%","474.075%","815.800%","605.100%","250.364%","374.636%","464.900%","479.650%","234.721%","230.266%","778.927%","764.144%"
"3689-T","イグニス","東証マザーズ","情報・通信業","","38.4071580354396644","11.9163039176889587","2.51743426080294563","-94.296%","","4","4","67.800%","2","2014-07-15","なし","9月末日","0.4166666666666667","↓→→→","-0.683%","↑↓↓↓","-56.543%","381.675%","115.200%","125.000%","175.045%","148.773%","95.850%","98.650%","89.686%","91.915%","239.617%","245.571%"
"3690-T","ロックオン","東証マザーズ","情報・通信業","","38.4071580354396644","7.94302269435055486","2.51743426080294563","37.308%","","4","4","82.900%","1","2014-09-17","あり","9月末日","0.3333333333333333","↑↑↑↑","-0.049%","↑↑↓↑","-51.334%","216.900%","120.800%","103.600%","79.864%","110.045%","201.400%","96.850%","183.902%","88.027%","279.218%","133.652%"
"3691-T","リアルワールド","東証マザーズ","情報・通信業","47.4539544962080129","38.4071580354396644","3.97973786429820775","2.51743426080294563","-26.020%","","4","2","41.100%","0","2014-09-18","なし","9月末日","0.4166666666666667","→↓↓↓","-3.388%","↑↓↓→","-2.222%","122.300%","67.000%","119.700%","78.636%","48.545%","53.700%","53.850%","113.065%","113.255%","96.795%","96.958%"
"3692-T","FFRI","東証マザーズ","情報・通信業","428.820960698689987","38.4071580354396644","128.098095486564063","2.51743426080294563","49.708%","-426.563%","4","3","61.500%","0","2014-09-30","なし","3月末日","0.6666666666666666","↓↓→↑","15.064%","↑↓↓↑","-30.090%","1961.800%","82.600%","89.300%","261.000%","403.136%","193.700%","197.350%","143.301%","145.006%","1967.896%","1991.314%"
"3693-T","イー・カムトゥルー","東証TPM","情報・通信業","","38.4071580354396644","","2.51743426080294563","","","","","","0","","なし","","","→→→→","","→→→→","","","","","","","","","","","",""
"3694-T","オプティム","東証1部","情報・通信業","95.1273756570966356","38.4071580354396644","16.4591058560134336","2.51743426080294563","262.162%","37.313%","5","4","71.700%","1","2014-10-22","なし","3月末日","0.5","→→→→","-2.008%","↑↑↓→","-53.816%","792.575%","103.200%","171.700%","59.909%","196.773%","270.000%","118.050%","233.377%","102.038%","1294.783%","566.108%"
"3695-T","GMOリサーチ","東証マザーズ","情報・通信業","20.8697007481296772","38.4071580354396644","2.06320590455939223","2.51743426080294563","67.347%","-65.854%","3","3","64.400%","0","2014-10-21","なし","12月末日","0.4166666666666667","↓↓↓↓","-6.288%","↑↑↓↑","263.381%","56.850%","80.200%","110.300%","74.045%","74.045%","35.050%","35.050%","119.431%","119.431%","47.528%","47.528%"
"3696-T","セレス","東証マザーズ","情報・通信業","38.2857142857142847","38.4071580354396644","5.68814262805395732","2.51743426080294563","110.897%","56.028%","5","5","65.500%","1","2014-10-22","なし","12月末日","0.4166666666666667","↑↑↑↑","5.023%","↑↑↑↑","-9.908%","296.225%","92.400%","162.900%","106.364%","106.364%","263.000%","264.350%","163.710%","164.068%","339.465%","340.207%"
"3697-T","SHIFT","東証マザーズ","情報・通信業","48.4966052376333607","38.4071580354396644","9.67773153972708755","2.51743426080294563","102.516%","","4","5","68.500%","0","2014-11-13","なし","8月末日","0.4166666666666667","↓→→→","-0.782%","↑↑→↓","-9.565%","372.500%","98.600%","149.000%","177.727%","216.273%","369.000%","379.000%","146.327%","150.292%","381.548%","391.888%"
"3698-T","CRI・ミドルウェア","東証マザーズ","情報・通信業","27.6135687363618345","38.4071580354396644","4.08882622488544278","2.51743426080294563","23.721%","","5","3","85.000%","0","2014-11-27","なし","9月末日","0.08333333333333333","↑↑↑↑","-7.264%","↑↑↑↑","-82.592%","153.200%","96.600%","147.000%","54.682%","76.773%","179.400%","105.400%","237.412%","139.483%","254.600%","149.581%"
